Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,-0.19,0.71,0.82,-31.56,-87.65,64.76
C,-0.15,0.70,0.86,-33.94,-84.66,31.07
C,-0.14,0.49,0.82,-31.56,-76.23,7.57
C,-0.08,0.65,0.96,-37.96,-83.31,-1.77
C,-0.08,0.57,0.91,-45.65,-80.81,-18.19
C,-0.08,0.49,1.01,-41.69,-78.61,-42.60
C,-0.07,0.48,1.23,-41.32,-73.00,-49.56
C,0.01,0.54,1.36,-63.48,-63.60,-64.64
C,0.03,0.61,1.37,-82.40,-13.24,-108.46
C,-0.08,0.47,0.83,-89.23,19.59,-148.86
C,-0.08,0.21,0.66,-72.81,28.93,-193.91
C,-0.06,-0.84,0.24,-62.56,-30.33,-197.57
C,-0.02,-1.11,0.21,-112.37,-85.94,-117.00
C,0.17,-0.63,1.37,-87.65,-125.92,-10.07
C,0.33,-0.19,1.85,-25.21,-85.14,-6.35
C,0.31,-0.58,1.53,-0.43,-22.71,-53.28
C,0.14,-0.54,1.15,-2.93,-3.85,-12.51
C,0.05,-0.28,1.05,-1.77,-7.14,8.18
C,0.05,-0.06,0.99,4.03,2.26,5.92
C,0.06,-0.22,1.00,2.08,-1.04,-2.99
C,0.04,-0.15,0.90,-1.10,2.08,5.55
